region_name,date,temp_min_anomaly_threshold
恩施土家族苗族自治州,06-01,-0.4814419769592346
惠州市,06-01,0.1415499988226261
成都市,06-01,0.12852025466372768
扬州市,06-01,-1.8126491492300982
承德市,06-01,-0.793422945606153
抚州市,06-01,-0.3610481696479138
抚顺市,06-01,-1.7483756045974572
拉萨市,06-01,-1.2759971426252847
揭阳市,06-01,0.22350924893586802
攀枝花市,06-01,1.4567764900133844
文山壮族苗族自治州,06-01,0.9110287681525707
文昌市,06-01,1.0016186038724837
新乡市,06-01,-0.044413672344289376
新余市,06-01,-0.44912916063216074
新星市,06-01,0.8145596946830318
无锡市,06-01,-1.8565556770860476
日喀则市,06-01,-1.8882906778437665
日照市,06-01,-1.5453073421484422
昆明市,06-01,0.8057250965741506
昆玉市,06-01,0.06104557478524902
昌吉回族自治州,06-01,0.8801811603968737
昌江黎族自治县,06-01,1.5655784129072459
昌都市,06-01,-1.3114451740444235
昭通市,06-01,0.5974274498487077
晋中市,06-01,-0.5103689706812109
晋城市,06-01,-0.13306885370007876
普洱市,06-01,0.7471235631185071
景德镇市,06-01,-1.0498139498243781
曲靖市,06-01,0.7021814671001335
朔州市,06-01,-0.458817949947649
朝阳市,06-01,-0.03456200094531226
本溪市,06-01,-2.5428188611375466
来宾市,06-01,0.2012827885222777
杭州市,06-01,-1.4323399381658632
松原市,06-01,-0.4140993316674315
林芝市,06-01,-1.2688307166839643
果洛藏族自治州,06-01,-0.39840785908366255
枣庄市,06-01,-0.7000082298905093
柳州市,06-01,0.09633898660582482
株洲市,06-01,-0.4893005201049892
桂林市,06-01,-0.022571408135507037
梅州市,06-01,-0.007810319379547946
梧州市,06-01,-0.012890977855720324
楚雄彝族自治州,06-01,0.9936304768671352
榆林市,06-01,0.06827888779800766
武威市,06-01,0.08731521531691976
武汉市,06-01,-0.8019699869413038
毕节市,06-01,0.7037839398291069
永州市,06-01,-0.14010092047820677
汉中市,06-01,-0.6440682545004032
汕头市,06-01,0.16425156936146118
汕尾市,06-01,0.12435158504366425
江门市,06-01,0.44321109350209403
池州市,06-01,-1.160866653718627
沈阳市,06-01,-0.9647052292731101
沧州市,06-01,0.6354473311671208
河池市,06-01,0.3015110443361742
河源市,06-01,0.13702341081317365
泉州市,06-01,-0.12061920009384058
泰安市,06-01,-0.6196598954985927
泰州市,06-01,-1.8596905863429603
泸州市,06-01,0.0863865610282092
洛阳市,06-01,-0.5191748164836321
济南市,06-01,-0.178278567911663
济宁市,06-01,-0.3796730211205139
济源市,06-01,0.23365745721451645
海东市,06-01,-0.43396986928698483
海北藏族自治州,06-01,-1.213393258130093
海南藏族自治州,06-01,-0.8522520146764917
海口市,06-01,1.086739390803275
海西蒙古族藏族自治州,06-01,-1.1203861326070563
淄博市,06-01,-0.23547391904904752
淮北市,06-01,-0.2698322263429956
淮南市,06-01,-0.8403198995213086
淮安市,06-01,-1.7277286242153296
深圳市,06-01,0.25060967269628953
清远市,06-01,-0.07551416496080912
温州市,06-01,-0.8546050535212568
渭南市,06-01,0.0862720707146607
湖州市,06-01,-1.7501395622519162
湘潭市,06-01,-0.2898891078710764
湘西土家族苗族自治州,06-01,-0.3116459811122119
湛江市,06-01,0.6182987599205714
滁州市,06-01,-1.4552612654680885
滨州市,06-01,0.10087149880483755
漯河市,06-01,0.1833352979905882
漳州市,06-01,0.003985795427349295
潍坊市,06-01,-1.0288382810465175
潜江市,06-01,-0.6626946679389493
潮州市,06-01,0.12289728397827702
澄迈县,06-01,1.1422253462543823
濮阳市,06-01,0.24086718661941423
烟台市,06-01,-2.0362658530523325
焦作市,06-01,-0.20210715363756476
牡丹江市,06-01,-1.5434399403857872
玉林市,06-01,0.37287625084204634
玉树藏族自治州,06-01,-1.4158780845325267
玉溪市,06-01,0.8439393262926321
珠海市,06-01,0.2856507661163528
